SERVICE_NAME,BADCODE,CODE,PRICE,CURRENCY
International,1264721,+1264721,6.14,RUR
International,1264722,+1264722,6.14,RUR
International,1264723,+1264723,6.14,RUR
International,1264724,+1264724,6.14,RUR
International,1264725,+1264725,6.14,RUR
International,1264726,+1264726,6.14,RUR
International,1264727,+1264727,6.14,RUR
International,1264728,+1264728,6.14,RUR
International,1264729,+1264729,6.14,RUR
International,1264770,+1264770,6.14,RUR
International,1264771,+1264771,6.14,RUR
International,1264772,+1264772,6.14,RUR
International,1264773,+1264773,6.14,RUR
International,1264774,+1264774,6.14,RUR
International,1264775,+1264775,6.14,RUR
International,1264776,+1264776,6.14,RUR
International,1264777,+1264777,6.14,RUR
International,1264778,+1264778,6.14,RUR
International,1264779,+1264779,6.14,RUR
International,1268268,+1268268,6.14,RUR
International,1268464,+1268464,6.14,RUR
International,1268555,+1268555,6.14,RUR
International,126872,+126872,6.14,RUR
International,1268720,+1268720,6.14,RUR
International,1268721,+1268721,6.14,RUR
International,1268722,+1268722,6.14,RUR
International,1268723,+1268723,6.14,RUR
International,1268724,+1268724,6.14,RUR
International,1268725,+1268725,6.14,RUR
International,1268726,+1268726,6.14,RUR
International,1268727,+1268727,6.14,RUR
International,1268728,+1268728,6.14,RUR
International,1268729,+1268729,6.14,RUR
International,1268732,+1268732,6.14,RUR
International,1268734,+1268734,6.14,RUR
International,1268736,+1268736,6.14,RUR
International,1268764,+1268764,6.14,RUR
International,126877,+126877,6.14,RUR
International,1268770,+1268770,6.14,RUR
International,1268771,+1268771,6.14,RUR
International,1268772,+1268772,6.14,RUR
International,1268773,+1268773,6.14,RUR
International,1268774,+1268774,6.14,RUR
International,1268775,+1268775,6.14,RUR
International,1268776,+1268776,6.14,RUR
International,1268777,+1268777,6.14,RUR
International,1268778,+1268778,6.14,RUR
International,1268779,+1268779,6.14,RUR
International,126878,+126878,6.14,RUR
International,1268780,+1268780,6.14,RUR
International,1268781,+1268781,6.14,RUR
International,1268782,+1268782,6.14,RUR
International,1268783,+1268783,6.14,RUR
International,1268784,+1268784,6.14,RUR
International,1268785,+1268785,6.14,RUR
International,1268786,+1268786,6.14,RUR
International,1268787,+1268787,6.14,RUR
International,1268788,+1268788,6.14,RUR
International,1268789,+1268789,6.14,RUR
International,1284,+1284,6.14,RUR
International,1284300,+1284300,6.14,RUR
International,1284301,+1284301,6.14,RUR
International,1284302,+1284302,6.14,RUR
International,1284303,+1284303,6.14,RUR
International,1284340,+1284340,6.14,RUR
International,1284341,+1284341,6.14,RUR
International,1284342,+1284342,6.14,RUR
International,1284343,+1284343,6.14,RUR
International,1284344,+1284344,6.14,RUR
International,1284345,+1284345,6.14,RUR
International,1284346,+1284346,6.14,RUR
International,1284347,+1284347,6.14,RUR
International,1284441,+1284441,6.14,RUR
International,1284442,+1284442,6.14,RUR
International,1284443,+1284443,6.14,RUR
International,1284444,+1284444,6.14,RUR
International,1284445,+1284445,6.14,RUR
International,1284446,+1284446,6.14,RUR
International,12844689,+12844689,6.14,RUR
International,12844960,+12844960,6.14,RUR
International,12844966,+12844966,6.14,RUR
International,12844967,+12844967,6.14,RUR
International,12844968,+12844968,6.14,RUR
International,12844969,+12844969,6.14,RUR
International,1284499,+1284499,6.14,RUR
International,1284540,+1284540,6.14,RUR
International,1284541,+1284541,6.14,RUR
International,1284542,+1284542,6.14,RUR
International,1284543,+1284543,6.14,RUR
International,1284544,+1284544,6.14,RUR
International,1284545,+1284545,6.14,RUR
International,1284546,+1284546,6.14,RUR
International,1284547,+1284547,6.14,RUR
International,1289,+1289,2.14,RUR
International,1306,+1306,2.14,RUR
International,1340,+1340,6.14,RUR
International,1343,+1343,2.14,RUR
International,1345,+1345,6.14,RUR
International,1345220,+1345220,6.14,RUR
International,1345221,+1345221,6.14,RUR
International,1345222,+1345222,6.14,RUR
International,1345223,+1345223,6.14,RUR
International,1345224,+1345224,6.14,RUR
International,1345225,+1345225,6.14,RUR
International,1345226,+1345226,6.14,RUR
International,1345227,+1345227,6.14,RUR
International,1345228,+1345228,6.14,RUR
International,1345229,+1345229,6.14,RUR
International,134523,+134523,6.14,RUR
International,1345240,+1345240,6.14,RUR
International,1345241,+1345241,6.14,RUR
International,1345242,+1345242,6.14,RUR
International,1345243,+1345243,6.14,RUR
International,1345244,+1345244,6.14,RUR
International,1345245,+1345245,6.14,RUR
International,1345246,+1345246,6.14,RUR
International,1345247,+1345247,6.14,RUR
International,1345248,+1345248,6.14,RUR
International,1345249,+1345249,6.14,RUR
International,1345510,+1345510,6.14,RUR
International,1345511,+1345511,6.14,RUR
International,1345512,+1345512,6.14,RUR
International,1345513,+1345513,6.14,RUR
International,1345514,+1345514,6.14,RUR
International,1345515,+1345515,6.14,RUR
International,1345516,+1345516,6.14,RUR
International,1345517,+1345517,6.14,RUR
International,1345518,+1345518,6.14,RUR
International,1345519,+1345519,6.14,RUR
International,1345520,+1345520,6.14,RUR
International,1345521,+1345521,6.14,RUR
International,1345522,+1345522,6.14,RUR
International,1345523,+1345523,6.14,RUR
International,1345524,+1345524,6.14,RUR
International,1345525,+1345525,6.14,RUR
International,1345526,+1345526,6.14,RUR
International,1345527,+1345527,6.14,RUR
International,1345528,+1345528,6.14,RUR
International,1345529,+1345529,6.14,RUR
International,1345540,+1345540,6.14,RUR
International,1345541,+1345541,6.14,RUR
International,1345542,+1345542,6.14,RUR
International,1345543,+1345543,6.14,RUR
International,1345544,+1345544,6.14,RUR
International,1345545,+1345545,6.14,RUR
International,1345546,+1345546,6.14,RUR
International,1345547,+1345547,6.14,RUR
International,1345548,+1345548,6.14,RUR
International,1345549,+1345549,6.14,RUR
International,1345610,+1345610,6.14,RUR
International,1345611,+1345611,6.14,RUR
International,1345612,+1345612,6.14,RUR
International,1345613,+1345613,6.14,RUR
International,1345614,+1345614,6.14,RUR
International,1345615,+1345615,6.14,RUR
International,1345616,+1345616,6.14,RUR
International,1345617,+1345617,6.14,RUR
International,1345618,+1345618,6.14,RUR
International,1345619,+1345619,6.14,RUR
International,1345620,+1345620,6.14,RUR
International,1345621,+1345621,6.14,RUR
International,1345622,+1345622,6.14,RUR
International,1345623,+1345623,6.14,RUR
International,1345624,+1345624,6.14,RUR
International,1345625,+1345625,6.14,RUR
International,1345626,+1345626,6.14,RUR
International,1345627,+1345627,6.14,RUR
International,1345628,+1345628,6.14,RUR
International,1345629,+1345629,6.14,RUR
International,1345630,+1345630,6.14,RUR
International,1345640,+1345640,6.14,RUR
International,1345641,+1345641,6.14,RUR
